run_accession	experiment_title	sample_accession	project_name	submission_accession	library_min_fragment_size	bam_md5	assembly_software	library_prep_longitude	library_selection	pcr_isolation_protocol	chip_protocol	sequencing_primer_provider	serotype	environment_feature	last_updated	submitted_galaxy	extraction_protocol	germline	secondary_project	culture_collection	submission_tool	sra_bytes	read_strand	rna_purity_280_ratio	hi_c_protocol	collected_by	submitted_ftp	restriction_enzyme_target_sequence	isolate	fastq_bytes	instrument_platform	variety	sequencing_date_format	temperature	sra_aspera	ecotype	submitted_aspera	sampling_campaign	bam_ftp	tissue_lib	environmental_sample	control_experiment	sex	submitted_md5	checklist	fastq_galaxy	library_gen_protocol	specimen_voucher	library_prep_latitude	submitted_bytes	taxonomic_identity_marker	run_date	country	ncbi_reporting_standard	sample_description	sra_galaxy	sample_prep_interval	fastq_md5	secondary_study_accession	experimental_protocol	read_count	study_title	bio_material	rna_prep_5_protocol	host_body_site	local_environmental_context	assembly_quality	collection_date_end	sample_capture_status	sample_title	host_genotype	host_phenotype	environmental_medium	cultivar	instrument_model	faang_library_selection	target_gene	bam_bytes	library_max_fragment_size	experiment_target	sequencing_date	description	nominal_sdev	chip_ab_provider	environment_material	host_tax_id	sample_material	sample_storage_processing	sra_md5	cell_type	fastq_ftp	disease	sample_prep_interval_units	broker_name	sub_strain	base_count	library_strategy	restriction_site	serovar	investigation_type	location	library_source	sra_ftp	age	library_layout	experimental_factor	sequencing_primer_catalog	environment_biome	rna_purity_230_ratio	dnase_protocol	dev_stage	library_prep_date_format	bam_aspera	binning_software	datahub	rna_integrity_num	library_prep_date	location_start	marine_region	aligned	file_location	sample_collection	chip_target	nominal_length	broad_scale_environmental_context	sequencing_location	status	completeness_score	lon	fastq_aspera	tax_lineage	host_sex	library_pcr_isolation_protocol	sample_alias	mating_type	collection_date_start	sub_species	contamination_score	run_alias	restriction_enzyme	depth	submitted_read_type	library_construction_protocol	host_growth_conditions	collection_date	experiment_alias	host_gravidity	center_name	identified_by	cell_line	sampling_site	host	library_name	tag	first_created	lat	strain	experiment_accession	scientific_name	host_status	tax_id	study_accession	submitted_format	submitted_host_sex	bisulfite_protocol	altitude	rt_prep_protocol	host_scientific_name	bam_galaxy	accession	secondary_sample_accession	sample_storage	cage_protocol	sampling_platform	taxonomic_classification	location_end	protocol_label	elevation	salinity	sequencing_method	sequencing_primer_lot	first_public	transposase_protocol	study_alias	library_prep_location	rna_prep_3_protocol	ph	sequencing_longitude	tissue_type	isolation_source
SRR31271389	Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot	SAMN44521225	Plasmodium	SRA2010156					PCR					Human blood	2024-11-09							28344341							AAB1610895	11059814;12394044	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR312/089/SRR31271389/SRR31271389											ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/089/SRR31271389/SRR31271389_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/089/SRR31271389/SRR31271389_2.fastq.gz							USA	MIGS/MIMS/MIMARKS.human-associated;MIGS.eu	Keywords: GSC:MIxS MIGS:6.0	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/089/SRR31271389/SRR31271389		739b3facdd8f8ca5a82d84bf8cb79e44;33bbad05aa8f26d6de60ad4ec12ef18f	SRP543826		217319	Plasmodium falciparum Raw sequence reads for controls and samples used to benchmark wetlab and bioinformatics methods				Human blood		2017-12-31		2 strain mixture control of V1S U659 : 40 60%			Dried blood on filter paper		Illumina MiSeq							Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot			Dried blood on filter paper	9606			3f663ae11feeb39ddd8bfe553e667650		ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/089/SRR31271389/SRR31271389_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/089/SRR31271389/SRR31271389_2.fastq.gz					65630338	AMPLICON				37.8 N 122.4 W	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/089/SRR31271389/SRR31271389		PAIRED			cultured habitat										37.8 N 122.4 W							cultured habitat		public		-122.4	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/089/SRR31271389/SRR31271389_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/089/SRR31271389/SRR31271389_2.fastq.gz	1;131567;2759;2698737;33630;5794;422676;5819;1639119;5820;418107;5833			AAB1610895_S88_L001		2017-01-01			AAB1610895_S88_L001_pairs_R1.fastq.gz						2017	CISM1-10		SUB14852943				Homo sapiens	CISM1-10	env_geo;env_geo:terrestrial;pathogen;pathogen:protozoan	2024-11-09	37.8	V1S U659 : 40 60%	SRX26650700	Plasmodium falciparum		5833	PRJNA1180199						Homo sapiens		SRR31271389	SRS23144551					37.8 N 122.4 W						2024-11-09		PRJNA1180199	NA	NA	NA	NA	NA	NA
SRR31271390	Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot	SAMN44521224	Plasmodium	SRA2010156					PCR					Human blood	2024-11-09							24039250							AAB1610884	9296556;10358353	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR312/090/SRR31271390/SRR31271390											ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/090/SRR31271390/SRR31271390_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/090/SRR31271390/SRR31271390_2.fastq.gz							USA	MIGS/MIMS/MIMARKS.human-associated;MIGS.eu	Keywords: GSC:MIxS MIGS:6.0	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/090/SRR31271390/SRR31271390		23e598427fe3d34474eb3ded027be122;a8de1858451a45ca77432c18c7f762fd	SRP543826		180295	Plasmodium falciparum Raw sequence reads for controls and samples used to benchmark wetlab and bioinformatics methods				Human blood		2017-12-31		5 strain mixture control of V1S FCR3 W2 U659 D6 : 20 15 10 5 50%			Dried blood on filter paper		Illumina MiSeq							Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot			Dried blood on filter paper	9606			c89574720bfabc22342191dd5ba40268		ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/090/SRR31271390/SRR31271390_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/090/SRR31271390/SRR31271390_2.fastq.gz					54449090	AMPLICON				37.8 N 122.4 W	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/090/SRR31271390/SRR31271390		PAIRED			cultured habitat										37.8 N 122.4 W							cultured habitat		public		-122.4	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/090/SRR31271390/SRR31271390_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/090/SRR31271390/SRR31271390_2.fastq.gz	1;131567;2759;2698737;33630;5794;422676;5819;1639119;5820;418107;5833			AAB1610884_S87_L001		2017-01-01			AAB1610884_S87_L001_pairs_R1.fastq.gz						2017	CISM1-9		SUB14852943				Homo sapiens	CISM1-9	env_geo;env_geo:terrestrial;pathogen;pathogen:protozoan	2024-11-09	37.8	V1S FCR3 W2 U659 D6 : 20 15 10 5 50%	SRX26650699	Plasmodium falciparum		5833	PRJNA1180199						Homo sapiens		SRR31271390	SRS23144550					37.8 N 122.4 W						2024-11-09		PRJNA1180199	NA	NA	NA	NA	NA	NA
SRR31271391	Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot	SAMN44521223	Plasmodium	SRA2010156					PCR					Human blood	2024-11-09							17422411							AAB1610883	6712606;8354025	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR312/091/SRR31271391/SRR31271391											ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/091/SRR31271391/SRR31271391_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/091/SRR31271391/SRR31271391_2.fastq.gz							USA	MIGS/MIMS/MIMARKS.human-associated;MIGS.eu	Keywords: GSC:MIxS MIGS:6.0	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/091/SRR31271391/SRR31271391		bc4fc6711cbb4aaf0ea66bf032859d06;154eb74a74e74c14ac2d0d9b25b1b002	SRP543826		131752	Plasmodium falciparum Raw sequence reads for controls and samples used to benchmark wetlab and bioinformatics methods				Human blood		2017-12-31		2 strain mixture control of V1S U659 : 10 90%			Dried blood on filter paper		Illumina MiSeq							Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot			Dried blood on filter paper	9606			79d6fa5d7f0ca186f7b7bfac5c33f0f1		ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/091/SRR31271391/SRR31271391_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/091/SRR31271391/SRR31271391_2.fastq.gz					39789104	AMPLICON				37.8 N 122.4 W	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/091/SRR31271391/SRR31271391		PAIRED			cultured habitat										37.8 N 122.4 W							cultured habitat		public		-122.4	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/091/SRR31271391/SRR31271391_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/091/SRR31271391/SRR31271391_2.fastq.gz	1;131567;2759;2698737;33630;5794;422676;5819;1639119;5820;418107;5833			AAB1610883_S85_L001		2017-01-01			AAB1610883_S85_L001_pairs_R1.fastq.gz						2017	CISM1-8		SUB14852943				Homo sapiens	CISM1-8	env_geo;env_geo:terrestrial;pathogen;pathogen:protozoan	2024-11-09	37.8	V1S U659 : 10 90%	SRX26650698	Plasmodium falciparum		5833	PRJNA1180199						Homo sapiens		SRR31271391	SRS23144548					37.8 N 122.4 W						2024-11-09		PRJNA1180199	NA	NA	NA	NA	NA	NA
SRR31271392	Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot	SAMN44521222	Plasmodium	SRA2010156					PCR					Human blood	2024-11-09							8573676							AAB1610872	3420848;4233373	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR312/092/SRR31271392/SRR31271392											ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/092/SRR31271392/SRR31271392_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/092/SRR31271392/SRR31271392_2.fastq.gz							USA	MIGS/MIMS/MIMARKS.human-associated;MIGS.eu	Keywords: GSC:MIxS MIGS:6.0	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/092/SRR31271392/SRR31271392		2ef054cc571705e63c23b4a1d539416d;432edd70be8a66259bc79ba49bce4761	SRP543826		63368	Plasmodium falciparum Raw sequence reads for controls and samples used to benchmark wetlab and bioinformatics methods				Human blood		2017-12-31		2 strain mixture control of V1S U659 : 99 1%			Dried blood on filter paper		Illumina MiSeq							Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot			Dried blood on filter paper	9606			f393d5f1daec90dd41c6a738aee4eaf3		ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/092/SRR31271392/SRR31271392_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/092/SRR31271392/SRR31271392_2.fastq.gz					19137136	AMPLICON				37.8 N 122.4 W	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/092/SRR31271392/SRR31271392		PAIRED			cultured habitat										37.8 N 122.4 W							cultured habitat		public		-122.4	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/092/SRR31271392/SRR31271392_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/092/SRR31271392/SRR31271392_2.fastq.gz	1;131567;2759;2698737;33630;5794;422676;5819;1639119;5820;418107;5833			AAB1610872_S94_L001		2017-01-01			AAB1610872_S94_L001_pairs_R1.fastq.gz						2017	CISM1-7		SUB14852943				Homo sapiens	CISM1-7	env_geo;env_geo:terrestrial;pathogen;pathogen:protozoan	2024-11-09	37.8	V1S U659 : 99 1%	SRX26650697	Plasmodium falciparum		5833	PRJNA1180199						Homo sapiens		SRR31271392	SRS23144549					37.8 N 122.4 W						2024-11-09		PRJNA1180199	NA	NA	NA	NA	NA	NA
SRR31271393	Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot	SAMN44521221	Plasmodium	SRA2010156					PCR					Human blood	2024-11-09							95879121							AAB1610871	36432649;47349329	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR312/093/SRR31271393/SRR31271393											ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/093/SRR31271393/SRR31271393_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/093/SRR31271393/SRR31271393_2.fastq.gz							USA	MIGS/MIMS/MIMARKS.human-associated;MIGS.eu	Keywords: GSC:MIxS MIGS:6.0	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/093/SRR31271393/SRR31271393		08d0d55cc2fa8526f280b393115d6e37;2d36be1fcb45161943de64f0f8937b43	SRP543826		706316	Plasmodium falciparum Raw sequence reads for controls and samples used to benchmark wetlab and bioinformatics methods				Human blood		2017-12-31		2 strain mixture control of V1S U659 : 5 95%			Dried blood on filter paper		Illumina MiSeq							Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot			Dried blood on filter paper	9606			74ac04ea99ae68d2ef608903a9215b0a		ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/093/SRR31271393/SRR31271393_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/093/SRR31271393/SRR31271393_2.fastq.gz					213307432	AMPLICON				37.8 N 122.4 W	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/093/SRR31271393/SRR31271393		PAIRED			cultured habitat										37.8 N 122.4 W							cultured habitat		public		-122.4	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/093/SRR31271393/SRR31271393_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/093/SRR31271393/SRR31271393_2.fastq.gz	1;131567;2759;2698737;33630;5794;422676;5819;1639119;5820;418107;5833			AAB1610871_S92_L001		2017-01-01			AAB1610871_S92_L001_pairs_R1.fastq.gz						2017	CISM1-6		SUB14852943				Homo sapiens	CISM1-6	env_geo;env_geo:terrestrial;pathogen;pathogen:protozoan	2024-11-09	37.8	V1S U659 : 5 95%	SRX26650696	Plasmodium falciparum		5833	PRJNA1180199						Homo sapiens		SRR31271393	SRS23144547					37.8 N 122.4 W						2024-11-09		PRJNA1180199	NA	NA	NA	NA	NA	NA
SRR31271394	Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot	SAMN44521220	Plasmodium	SRA2010156					PCR					Human blood	2024-11-09							15998770							AAB1610860	6279237;7910434	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR312/094/SRR31271394/SRR31271394											ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/094/SRR31271394/SRR31271394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/094/SRR31271394/SRR31271394_2.fastq.gz							USA	MIGS/MIMS/MIMARKS.human-associated;MIGS.eu	Keywords: GSC:MIxS MIGS:6.0	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/094/SRR31271394/SRR31271394		a23efcd5f4a129c003a50d13f8c660ad;792a28a215f2d42dbaf3b7361524dde7	SRP543826		119905	Plasmodium falciparum Raw sequence reads for controls and samples used to benchmark wetlab and bioinformatics methods				Human blood		2017-12-31		2 strain mixture control of V1S U659 : 98 2%			Dried blood on filter paper		Illumina MiSeq							Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot			Dried blood on filter paper	9606			083b2e56081c0818aa50075d400351bb		ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/094/SRR31271394/SRR31271394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/094/SRR31271394/SRR31271394_2.fastq.gz					36211310	AMPLICON				37.8 N 122.4 W	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/094/SRR31271394/SRR31271394		PAIRED			cultured habitat										37.8 N 122.4 W							cultured habitat		public		-122.4	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/094/SRR31271394/SRR31271394_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/094/SRR31271394/SRR31271394_2.fastq.gz	1;131567;2759;2698737;33630;5794;422676;5819;1639119;5820;418107;5833			AAB1610860_S91_L001		2017-01-01			AAB1610860_S91_L001_pairs_R1.fastq.gz						2017	CISM1-5		SUB14852943				Homo sapiens	CISM1-5	env_geo;env_geo:terrestrial;pathogen;pathogen:protozoan	2024-11-09	37.8	V1S U659 : 98 2%	SRX26650695	Plasmodium falciparum		5833	PRJNA1180199						Homo sapiens		SRR31271394	SRS23144546					37.8 N 122.4 W						2024-11-09		PRJNA1180199	NA	NA	NA	NA	NA	NA
SRR31271395	Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot	SAMN44521219	Plasmodium	SRA2010156					PCR					Human blood	2024-11-09							9612544							AAB1610859	3981472;4733953	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR312/095/SRR31271395/SRR31271395											ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/095/SRR31271395/SRR31271395_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/095/SRR31271395/SRR31271395_2.fastq.gz							USA	MIGS/MIMS/MIMARKS.human-associated;MIGS.eu	Keywords: GSC:MIxS MIGS:6.0	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/095/SRR31271395/SRR31271395		ceb79dce3a27a46f7e6c7567e300e933;4fa0ce9674717c03a96070b96b0f7cb1	SRP543826		74192	Plasmodium falciparum Raw sequence reads for controls and samples used to benchmark wetlab and bioinformatics methods				Human blood		2017-12-31		2 strain mixture control of V1S U659 : 2 98%			Dried blood on filter paper		Illumina MiSeq							Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot			Dried blood on filter paper	9606			23d2f6cf4b8ab2a8e7c345e4ffd44990		ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/095/SRR31271395/SRR31271395_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/095/SRR31271395/SRR31271395_2.fastq.gz					22405984	AMPLICON				37.8 N 122.4 W	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/095/SRR31271395/SRR31271395		PAIRED			cultured habitat										37.8 N 122.4 W							cultured habitat		public		-122.4	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/095/SRR31271395/SRR31271395_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/095/SRR31271395/SRR31271395_2.fastq.gz	1;131567;2759;2698737;33630;5794;422676;5819;1639119;5820;418107;5833			AAB1610859_S89_L001		2017-01-01			AAB1610859_S89_L001_pairs_R1.fastq.gz						2017	CISM1-4		SUB14852943				Homo sapiens	CISM1-4	env_geo;env_geo:terrestrial;pathogen;pathogen:protozoan	2024-11-09	37.8	V1S U659 : 2 98%	SRX26650694	Plasmodium falciparum		5833	PRJNA1180199						Homo sapiens		SRR31271395	SRS23144545					37.8 N 122.4 W						2024-11-09		PRJNA1180199	NA	NA	NA	NA	NA	NA
SRR31271396	Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot	SAMN44521218	Plasmodium	SRA2010156					PCR					Human blood	2024-11-09							9826952							AAB1610847	3710066;4988681	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR312/096/SRR31271396/SRR31271396											ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/096/SRR31271396/SRR31271396_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/096/SRR31271396/SRR31271396_2.fastq.gz							USA	MIGS/MIMS/MIMARKS.human-associated;MIGS.eu	Keywords: GSC:MIxS MIGS:6.0	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/096/SRR31271396/SRR31271396		b8d8284f00512ea8af142da188a367a5;5202a81f8270c8a8e6cda10aa938b41d	SRP543826		72307	Plasmodium falciparum Raw sequence reads for controls and samples used to benchmark wetlab and bioinformatics methods				Human blood		2017-12-31		2 strain mixture control of V1S U659 : 1 99%			Dried blood on filter paper		Illumina MiSeq							Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot			Dried blood on filter paper	9606			354850ba138bce2205ccc744f3198609		ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/096/SRR31271396/SRR31271396_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/096/SRR31271396/SRR31271396_2.fastq.gz					21836714	AMPLICON				37.8 N 122.4 W	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/096/SRR31271396/SRR31271396		PAIRED			cultured habitat										37.8 N 122.4 W							cultured habitat		public		-122.4	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/096/SRR31271396/SRR31271396_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/096/SRR31271396/SRR31271396_2.fastq.gz	1;131567;2759;2698737;33630;5794;422676;5819;1639119;5820;418107;5833			AAB1610847_S86_L001		2017-01-01			AAB1610847_S86_L001_pairs_R1.fastq.gz						2017	CISM1-3		SUB14852943				Homo sapiens	CISM1-3	env_geo;env_geo:terrestrial;pathogen;pathogen:protozoan	2024-11-09	37.8	V1S U659 : 1 99%	SRX26650693	Plasmodium falciparum		5833	PRJNA1180199						Homo sapiens		SRR31271396	SRS23144544					37.8 N 122.4 W						2024-11-09		PRJNA1180199	NA	NA	NA	NA	NA	NA
SRR31271397	NextSeq 500 sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot	SAMN44521182	Plasmodium	SRA2010156					PCR					Human blood	2024-11-09							29659204							4051124919	10786443;13278406	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR312/097/SRR31271397/SRR31271397											ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/097/SRR31271397/SRR31271397_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/097/SRR31271397/SRR31271397_2.fastq.gz							USA	MIGS/MIMS/MIMARKS.human-associated;MIGS.eu	Keywords: GSC:MIxS MIGS:6.0	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/097/SRR31271397/SRR31271397		0912e2b77a49b94f9d1bd0f853f510a4;d058b8898d8479a274d9169a76c86a7a	SRP543826		310496	Plasmodium falciparum Raw sequence reads for controls and samples used to benchmark wetlab and bioinformatics methods				Human blood		2017-12-31		2 strain mixture control of W2 D10 : 50 50%			Dried blood on filter paper		NextSeq 500							NextSeq 500 sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot			Dried blood on filter paper	9606			c4fb52a630c7a1bf16d6da9af640814c		ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/097/SRR31271397/SRR31271397_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/097/SRR31271397/SRR31271397_2.fastq.gz					90664832	AMPLICON				37.8 N 122.4 W	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/097/SRR31271397/SRR31271397		PAIRED			cultured habitat										37.8 N 122.4 W							cultured habitat		public		-122.4	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/097/SRR31271397/SRR31271397_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/097/SRR31271397/SRR31271397_2.fastq.gz	1;131567;2759;2698737;33630;5794;422676;5819;1639119;5820;418107;5833			PARAV3_ENV_61722_sampledb_4051124919_DS4-DC6_1K_PV4C1_A52_S601		2017-01-01			PARAV3_ENV_61722_sampledb_4051124919_DS4-DC6_1K_PV4C1_A52_S601_pairs_R1.fastq.gz						2017	AAD1017ZANZ5		SUB14852943				Homo sapiens	AAD1017ZANZ5	env_geo;env_geo:terrestrial;pathogen;pathogen:protozoan	2024-11-09	37.8	W2 D10 : 50 50%	SRX26650692	Plasmodium falciparum		5833	PRJNA1180199						Homo sapiens		SRR31271397	SRS23144543					37.8 N 122.4 W						2024-11-09		PRJNA1180199	NA	NA	NA	NA	NA	NA
SRR31271398	Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot	SAMN44521217	Plasmodium	SRA2010156					PCR					Human blood	2024-11-09							20925046							AAB1610836	8659237;9209667	ILLUMINA				fasp.sra.ebi.ac.uk:/vol1/srr/SRR312/098/SRR31271398/SRR31271398											ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/098/SRR31271398/SRR31271398_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/098/SRR31271398/SRR31271398_2.fastq.gz							USA	MIGS/MIMS/MIMARKS.human-associated;MIGS.eu	Keywords: GSC:MIxS MIGS:6.0	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/098/SRR31271398/SRR31271398		4d5493ca810cab94f38d7ed81429dec1;fefcb2bf4249ee0b1eb78b0d5e5bd200	SRP543826		172677	Plasmodium falciparum Raw sequence reads for controls and samples used to benchmark wetlab and bioinformatics methods				Human blood		2017-12-31		2 strain mixture control of V1S U659 : 90 10%			Dried blood on filter paper		Illumina MiSeq							Illumina MiSeq sequencing: Multiplexed amplicon sequencing of p falciparum control - dried blood spot			Dried blood on filter paper	9606			4d83d0d0281098f5773d924f82e6900c		ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/098/SRR31271398/SRR31271398_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/098/SRR31271398/SRR31271398_2.fastq.gz					52148454	AMPLICON				37.8 N 122.4 W	GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR312/098/SRR31271398/SRR31271398		PAIRED			cultured habitat										37.8 N 122.4 W							cultured habitat		public		-122.4	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/098/SRR31271398/SRR31271398_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR312/098/SRR31271398/SRR31271398_2.fastq.gz	1;131567;2759;2698737;33630;5794;422676;5819;1639119;5820;418107;5833			AAB1610836_S96_L001		2017-01-01			AAB1610836_S96_L001_pairs_R1.fastq.gz						2017	CISM1-2		SUB14852943				Homo sapiens	CISM1-2	env_geo;env_geo:terrestrial;pathogen;pathogen:protozoan	2024-11-09	37.8	V1S U659 : 90 10%	SRX26650691	Plasmodium falciparum		5833	PRJNA1180199						Homo sapiens		SRR31271398	SRS23144542					37.8 N 122.4 W						2024-11-09		PRJNA1180199	NA	NA	NA	NA	NA	NA
